bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Radar-on-Lidar: metric radar localization on prior lidar maps,H. Yin and Y. Wang and L. Tang and R. Xiong,,2020,IEEE INSPEC Non-Controlled Terms,1--7,,"Radar and lidar, provided by two different range sensors, each has pros and cons of various perception tasks on mobile robots or autonomous driving. In this paper, a Monte Carlo system is used to localize the robot with a rotating radar sensor on 2D lidar maps. We first train a conditional generative adversarial network to transfer raw radar data to lidar data, and achieve reliable radar points from generator. Then an efficient radar odometry is included in the Monte Carlo system. Combining the initial guess from odometry, a measurement model is proposed to match the radar data and prior lidar maps for final 2D positioning. We demonstrate the effectiveness of the proposed localization framework on the public multisession dataset. The experimental results show that our system can achieve high accuracy for long-term localization in outdoor scenes.",,10.1109/RCAR49640.2020.9303291,,,,Laser radar;Radar;Sensors;Radar imaging;Robots;Three-dimensional displays;Two dimensional displays,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Incorporating environmental measurements in navigation,H. J. S. Feder and J. J. Leonard and C. M. Smith,,1998,IEEE INSPEC Non-Controlled Terms,115--122,,"Extended missions in unknown regions present a significant navigational challenge for autonomous underwater vehicles (AUV). This paper investigates the long-term performance of a concurrent mapping and localization (CML) algorithm for the scenario of an AUV making observations of point features in the environment with a forward look sonar. Simulation results demonstrate that position estimates with long-term bounded errors of a few meters can be achieved under realistic assumptions about the vehicle, its sensors, and the environment. Potential failure modes of the algorithm, such as divergence and map slip, are discussed. CML technology can provide a significant improvement in the navigational capabilities of AUVs and can enable new missions in unmapped regions without reliance on acoustic beacons or surfacing for GPS resets.",,10.1109/AUV.1998.744447,,,,Sonar navigation;Remotely operated vehicles;Underwater acoustics;Performance analysis;Stochastic processes;Sea measurements;Jacobian matrices;Oceans;Automotive engineering;Marine technology,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Visual topometric localization,H. Badino and D. Huber and T. Kanade,,2011,IEEE INSPEC Non-Controlled Terms,794--799,,"One of the fundamental requirements of an autonomous vehicle is the ability to determine its location on a map. Frequently, solutions to this localization problem rely on GPS information or use expensive three dimensional (3D) sensors. In this paper, we describe a method for long-term vehicle localization based on visual features alone. Our approach utilizes a combination of topological and metric mapping, which we call topometric localization, to encode the coarse topology of the route as well as detailed metric information required for accurate localization. A topometric map is created by driving the route once and recording a database of visual features. The vehicle then localizes by matching features to this database at runtime. Since individual feature matches are unreliable, we employ a discrete Bayes filter to estimate the most likely vehicle position using evidence from a sequence of images along the route. We illustrate the approach using an 8.8 km route through an urban and suburban environment. The method achieves an average localization error of 2.7 m over this route, with isolated worst case errors on the order of 10 m.",,10.1109/IVS.2011.5940504,,,,Vehicles;Visualization;Measurement;Databases;Feature extraction;Global Positioning System;Probability density function,,1931-0587,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Towards life-long mapping of dynamic environments using temporal persistence modeling,G. Tsamis and I. Kostavelis and D. Giakoumis and D. Tzovaras,,2021,IEEE INSPEC Non-Controlled Terms,10480--10485,,"The contemporary SLAM mapping systems assume a static environment and build a map that is then used for mobile robot navigation disregarding the dynamic changes in this environment. The paper at hand presents a novel solution for the problem of life-long mapping that continually updates a metric map represented as a 2D occupancy grid in large scale indoor environments with movable objects such as people, robots, objects etc. suitable for industrial applications. We formalize each cell's occupancy as a failure analysis problem and contribute temporal persistence modeling (TPM), an algorithm for probabilistic prediction of the time that a cell in an observed location is expected to be “occupied” or “empty” given sparse prior observations from a task specific mobile robot. Our work is evaluated in Gazebo simulation environment against the nominal occupancy of cells and the estimated obstacles persistence. We also show that robot navigation with life-long mapping demands less replans and leads to more efficient navigation in highly dynamic environments.",,10.1109/ICPR48806.2021.9413161,,,,Measurement;Simultaneous localization and mapping;Navigation;Service robots;Predictive models;Probabilistic logic;Prediction algorithms,,1051-4651,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Long-Term Visual Localization Using Semantically Segmented Images,E. Stenborg and C. Toft and L. Hammarstrand,,2018,IEEE INSPEC Non-Controlled Terms,6484--6490,,"Robust cross-seasonal localization is one of the major challenges in long-term visual navigation of autonomous vehicles. In this paper, we exploit recent advances in semantic segmentation of images, i.e., where each pixel is assigned a label related to the type of object it represents, to attack the problem of long-term visual localization. We show that semantically labeled 3D point maps of the environment, together with semantically segmented images, can be efficiently used for vehicle localization without the need for detailed feature descriptors (SIFT, SURF, etc.), Thus, instead of depending on hand-crafted feature descriptors, we rely on the training of an image segmenter. The resulting map takes up much less storage space compared to a traditional descriptor based map. A particle filter based semantic localization solution is compared to one based on SIFT-features, and even with large seasonal variations over the year we perform on par with the larger and more descriptive SIFT-features, and are able to localize with an error below 1 m most of the time.",,10.1109/ICRA.2018.8463150,,,,Semantics;Cameras;Roads;Image segmentation;Visualization;Robustness;Feature extraction,,2577-087X,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Onboard Detection-Tracking-Localization,D. Tang and Q. Fang and L. Shen and T. Hu,IEEE/ASME Transactions on Mechatronics,2020,IEEE INSPEC Non-Controlled Terms,1555--1565,25,"This article investigates long-term positioning of moving objects by monocular vision of a miniature fixed-wing unmanned aerial vehicle. It is challenging to perform a real-time onboard vision processing task, due to the strict payload capacity and power budget limitations of microflying vehicles. We propose a parallel onboard architecture that explicitly decouples the long-term positioning task into iteratively operated detection, tracking, and localization. The proposed approach is eventually called onboard detection-tracking-localization, namely oDTL. The detector automatically extracts and identifies the object from image frames captured at in-flight durations. A learning-based network is constructed to improve detection accuracy and robustness against ever-changing outdoor illumination conditions and flying viewpoints. The tracker follows the object within specified region-of-interest from frame to frame with lower computing consumption. To further reduce target-losing rate, a concept of blind zone is proposed and applied, and its boundaries in sequential images are also theoretically inferred. The position estimator maps the flying vehicle pose, the image coordinates, and calibration specifications into real-world positions of the moving target. An extended Kalman filter is developed for rough position estimation, and a smooth module is introduced for the refinement of the position. Three offline comparative experiments and three online experiments have been conducted respectively to testify the real-time capability of our approach. The collected experimental results also demonstrate the feasible accuracy and robustness of the overall solution within the specified flying onboard scenarios.",,10.1109/TMECH.2020.2976794,,,,Robustness;Real-time systems;Visualization;Lighting;Cameras;Three-dimensional displays;IEEE transactions;Detection;localization;miniature fixed-wing unmanned aerial vehicle (UAV);monocular;onboard vision;parallel architecture;positioning;tracking,,1941-014X,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Optical flow localisation and appearance mapping (OFLAAM) for long-term navigation,D. Pastor-Moreno and H.-S. Shin and A. Waldock,,2015,IEEE INSPEC Non-Controlled Terms,980--988,,"This paper presents a novel method to use optical flow navigation for long term navigation. Unlike standard SLAM approaches for augmented reality, OFLAAM is designed for Micro Air Vehicles (MAV). It uses a optical flow camera pointing downwards, a IMU and a monocular camera pointing frontwards. That configuration avoids the computational expensive mapping and tracking of the 3D features. It only maps these features in a vocabulary list by a localization module to tackle the optical flow drift and the lose of the navigation estimation. That module, based on the well established algorithm DBoW2, will be also used to close the loop and allow long-term navigation in previously visited areas. The combination of high speed optical flow navigation with a low rate localization algorithm allows fully autonomous navigation for MAV, at the same time it reduces the overall computational load. This framework is implemented in ROS (Robot Operating System) and tested attached to a laptop. A representative scenario is used to validate and analyze the performance of the system.",,10.1109/ICUAS.2015.7152387,,,,Cameras;Optical sensors;Optical imaging;Computers;Vehicles;Adaptive optics;High-speed optical techniques,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Long-Term Visual Inertial SLAM based on Time Series Map Prediction,B. Song and W. Chen and J. Wang and H. Wang,,2019,IEEE INSPEC Non-Controlled Terms,5364--5369,,"With the advance in the field of mobile robots, autonomous robots are required for long-term deployment in dynamic and complex environments. However, the performance of Visual Inertial SLAM systems in long-term operation is not satisfactory, and most long-term SLAM systems assumes periodic changes in the environment. This paper presents a novel solution for long-term monocular VI SLAM system in dynamic environment based on autoregression(AR) modeling and map prediction. Map points are first classified into static and semi-static map points according to a memory model. Modeling and prediction of the different states of semi-static map points are performed that are derived from time series models. The predicted map is then fused with the current map to achieve a better forecast for the next frame if the prediction is not satisfactory enough. Experiments are carried out on an embedded system. The results indicate that the map prediction is reliable and the proposed approach improves the performance of long-term localization and mapping in dynamic environments.",,10.1109/IROS40897.2019.8968017,,,,,,2153-0866,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Long-Term Urban Vehicle Localization Using Pole Landmarks Extracted from 3-D Lidar Scans,A. Schaefer and D. Büscher and J. Vertens and L. Luft and W. Burgard,,2019,IEEE INSPEC Non-Controlled Terms,1--7,,"Due to their ubiquity and long-term stability, pole-like objects are well suited to serve as landmarks for vehicle localization in urban environments. In this work, we present a complete mapping and long-term localization system based on pole landmarks extracted from 3-D lidar data. Our approach features a novel pole detector, a mapping module, and an online localization module, each of which are described in detail, and for which we provide an open-source implementation [1]. In extensive experiments, we demonstrate that our method improves on the state of the art with respect to long-term reliability and accuracy: First, we prove reliability by tasking the system with localizing a mobile robot over the course of 15 months in an urban area based on an initial map, confronting it with constantly varying routes, differing weather conditions, seasonal changes, and construction sites. Second, we show that the proposed approach clearly outperforms a recently published method in terms of accuracy.",,10.1109/ECMR.2019.8870928,,,,Laser radar;Detectors;Reliability;Feature extraction;Urban areas;Trajectory;Roads,,,,,,44698.62201,44698.62201,sousarbarb,,Duplicated,
,Long-term 3D map maintenance in dynamic environments,F. Pomerleau and P. Krüsi and F. Colas and P. Furgale and R. Siegwart,,2014,IEEE Author Keywords,3712--3719,,"New applications of mobile robotics in dynamic urban areas require more than the single-session geometric maps that have dominated simultaneous localization and mapping (SLAM) research to date; maps must be updated as the environment changes and include a semantic layer (such as road network information) to aid motion planning in dynamic environments. We present an algorithm for long-term localization and mapping in real time using a three-dimensional (3D) laser scanner. The system infers the static or dynamic state of each 3D point in the environment based on repeated observations. The velocity of each dynamic point is estimated without requiring object models or explicit clustering of the points. At any time, the system is able to produce a most-likely representation of underlying static scene geometry. By storing the time history of velocities, we can infer the dominant motion patterns within the map. The result is an online mapping and localization system specifically designed to enable long-term autonomy within highly dynamic environments. We validate the approach using data collected around the campus of ETH Zurich over seven months and several kilometers of navigation. To the best of our knowledge, this is the first work to unify long-term map update with tracking of dynamic objects.",,10.1109/ICRA.2014.6907397,,,,Three-dimensional displays;Dynamics;Simultaneous localization and mapping;Heuristic algorithms;Laser modes;Long-term mapping;dynamic obstacles;ICP;kd-tree;registration;scan matching;robot;SLAM,,1050-4729,,,,44698.62178,44698.62178,sousarbarb,,Duplicated,
,Segmented Matching Method of Multi-Geophysics Field SLAM Data Based on LSTM,Z. Li and H. Yu and T. Shen and Z. Li,,2020,IEEE Index Terms,147--151,,"At present, simultaneous localization and mapping (SLAM) has become an important method for autonomous underwater vehicles (AUVs) to realize long-term navigation. However, using only bathymetric data in unknown environment has its own disadvantages, that are low precision and large computational load. To tackle with requirements of high-precision navigation under large-scale and long-term voyage condition, a SLAM method and corresponding matching algorithm for integrating multi-geophysical field data are proposed. By dividing the feature data and location data of geophysical field obtained into various submaps and sub-segments during AUV sailing, the dominant navigation data of each segment is identified using long short-term memory network. Validity of the proposed method is done by simulation experiments. During the simulation, the loop closure detection of each submap is used, and the matching counter is set to check the correct matching rate. Finally, the matching results with single geophysics field data under the same conditions are compared with multi-geophysics field data and analyzed. The experimental results have demonstrated the feasibility and correctness of the proposed method.",,10.1109/ICUS50048.2020.9274964,,,,Technological innovation;Underwater vehicles;Timing;Simultaneous localization and mapping;Navigation;SLAM;LSTM;navigation;multi-geophysics field data;matching,,,,,,44698.62163,44698.62163,sousarbarb,,Duplicated,
,"Real-Time, Environmentally-Robust 3D LiDAR Localization",Y. Zhu and B. Xue and L. Zheng and H. Huang and M. Liu and R. Fan,,2019,IEEE Index Terms,1--6,,"Localization, or position fixing, is an important problem in robotics research. In this paper, we propose a novel approach for long-term localization in a changing environment using 3D LiDAR. We first create the map of a real environment using GPS and LiDAR. Then, we divide the map into several small parts as the targets for cloud registration, which can not only improve the robustness but also reduce the registration time. We proposed a localization method called PointLocalization. PointLocalization allows us to fuse different kinds of odometers, which can optimize the accuracy and frequency of localization results. We evaluate our algorithm on an unmanned ground vehicle (UGV) using LiDAR and a wheel encoder, and obtain the localization results at more than 20 Hz after fusion. The algorithm can also localize the UGV in a 180-degree field of view (FOV). Using an outdated map captured six months ago, this algorithm shows great robustness, and the test results show that it can achieve an accuracy of 10 cm. PointLocalization has been tested for a period of more than six months in a crowded factory and has operated successfully over a distance of more than 2000 km.",,10.1109/IST48021.2019.9010305,,,,Laser radar;Global Positioning System;Simultaneous localization and mapping;Wheels;Cameras;Three-dimensional displays,,1558-2809,,,,44698.62163,44698.62163,sousarbarb,,Duplicated,
,Migratory birds-inspired navigation system for unmanned aerial vehicles,Y. Zhang and A. Chao and B. Zhao and H. Liu and X. Zhao,,2016,IEEE Index Terms,276--281,,"Migration birds are able to navigate themselves during a long-distance journey without getting lost. They actually achieve just what is being sought for in the field of Unmanned Aerial Vehicles (UAVs): long-term autonomous navigation. This paper proposes an approach that combines the migration birds' sense principles with Micro-Electro-Mechanical System (MEMS) sensors to estimate UAVs position within GPS-denied environments. Camera, orientation and web-based maps (such as Google/Baidu Maps) are chosen to simulate the birds' localization cues: vision, earth magnetic field and mental maps. The visual odometry, Particle Filter theories are used in the proposed approach to integrate multiple sensor measurements. Real flying experiments are conducted both in indoor and outdoor environments. The results validate that the proposed migration-inspired visual odometry system can estimate the UAV localization effectively.",,10.1109/ICInfA.2016.7831835,,,,Cameras;Visualization;Unmanned aerial vehicles;Birds;Sensors;Navigation;Optical imaging;Migration birds;Unmanned Aerial Vehicles;Navigation,,,,,,44698.62163,44698.62163,sousarbarb,,Duplicated,
,Long-term topological localisation for service robots in dynamic environments using spectral maps,T. Krajník and J. P. Fentanes and O. M. Mozos and T. Duckett and J. Ekekrantz and M. Hanheide,,2014,IEEE Index Terms,4537--4542,,"This paper presents a new approach for topological localisation of service robots in dynamic indoor environments. In contrast to typical localisation approaches that rely mainly on static parts of the environment, our approach makes explicit use of information about changes by learning and modelling the spatio-temporal dynamics of the environment where the robot is acting. The proposed spatio-temporal world model is able to predict environmental changes in time, allowing the robot to improve its localisation capabilities during long-term operations in populated environments. To investigate the proposed approach, we have enabled a mobile robot to autonomously patrol a populated environment over a period of one week while building the proposed model representation. We demonstrate that the experience learned during one week is applicable for topological localization even after a hiatus of three months by showing that the localization error rate is significantly lower compared to static environment representations.",,10.1109/IROS.2014.6943205,,,,Mathematical model;Three-dimensional displays;Predictive models;Fourier transforms;Feature extraction;Service robots;topological localisation;mobile robotics;spatio-temporal representations,,2153-0866,,,,44698.62163,44698.62163,sousarbarb,,Duplicated,
,Persistent localization and life-long mapping in changing environments using the Frequency Map Enhancement,T. Krajník and J. P. Fentanes and M. Hanheide and T. Duckett,,2016,IEEE Index Terms,4558--4563,,"We present a lifelong mapping and localisation system for long-term autonomous operation of mobile robots in changing environments. The core of the system is a spatio-temporal occupancy grid that explicitly represents the persistence and periodicity of the individual cells and can predict the probability of their occupancy in the future. During navigation, our robot builds temporally local maps and integrates then into the global spatio-temporal grid. Through re-observation of the same locations, the spatio-temporal grid learns the long-term environment dynamics and gains the ability to predict the future environment states. This predictive ability allows to generate time-specific 2d maps used by the robot's localisation and planning modules. By analysing data from a long-term deployment of the robot in a human-populated environment, we show that the proposed representation improves localisation accuracy and the efficiency of path planning. We also show how to integrate the method into the ROS navigation stack for use by other roboticists.",,10.1109/IROS.2016.7759671,,,,Navigation;Two dimensional displays;Robot sensing systems;Planning;Predictive models;Robot kinematics;mobile robotics;long-term autonomy,,2153-0866,,,,44698.62163,44698.62163,sousarbarb,,Duplicated,
,Lifelong Localization in Semi-Dynamic Environment,S. Zhu and X. Zhang and S. Guo and J. Li and H. Liu,,2021,IEEE Index Terms,14389--14395,,"Mapping and localization in non-static environments are fundamental problems in robotics. Most of previous methods mainly focus on static and highly dynamic objects in the environment, which may suffer from localization failure in semi-dynamic scenarios without considering objects with lower dynamics, such as parked cars and stopped pedestrians. In this paper, we introduce semantic mapping and lifelong localization approaches to recognize semi-dynamic objects in non-static environments. We also propose a generic framework that can integrate mainstream object detection algorithms with mapping and localization algorithms. The mapping method combines an object detection algorithm and a SLAM algorithm to detect semi-dynamic objects and constructs a semantic map that only contains semi-dynamic objects in the environment. During navigation, the localization method can classify observation corresponding to static and non-static objects respectively and evaluate whether those semi-dynamic objects have moved, to reduce the weight of invalid observation and localization fluctuation. Real-world experiments show that the proposed method can improve the localization accuracy of mobile robots in non-static scenarios.",,10.1109/ICRA48506.2021.9561584,,,,Location awareness;Simultaneous localization and mapping;Fluctuations;Navigation;Heuristic algorithms;Conferences;Semantics,,2577-087X,,,,44698.62163,44698.62163,sousarbarb,,Duplicated,
