Title,Accession number,Author,Author affiliation,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Publication date,Language,ISSN,ISBN,ISBN13,DOI,Conference name,Conference date,Conference location,CODEN,Country of publication,Document type,Link to ProQuest Dissertations,Abstract,Number of references,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Discipline,Database,Copyright,Data Provider
"Consistent sparsification for graph optimization","14023840","Guoquan Huang (1); Kaess, M. (1); Leonard, J.J. (1) ","(1) Massachusetts Institute of Technology, Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 02139, United States ","2013 European Conference on Mobile Robots. Proceedings","","IEEE Robot. Autom. Soc.","IEEE","","","150-7","2013","English","","","978-1-4799-0263-7","10.1109/ECMR.2013.6698835","2013 European Conference on Mobile Robots (ECMR 2013)","25-27 Sept. 2013","Barcelona, Spain","","","Conference article (CA)","","In a standard pose-graph formulation of simultaneous localization and mapping (SLAM), due to the continuously increasing numbers of nodes (states) and edges (measurements), the graph may grow prohibitively too large for long-term navigation. This motivates us to systematically reduce the pose graph amenable to available processing and memory resources. In particular, in this paper we introduce a consistent graph sparsification scheme: (i) sparsifying nodes via marginalization of old nodes, while retaining all the information (consistent relative constraints) - which is conveyed in the discarded measurements - about the remaining nodes after marginalization; and (ii) sparsifying edges by formulating and solving a consistent l1-regularized minimization problem, which automatically promotes the sparsity of the graph. The proposed approach is validated on both synthetic and real data.","40","graph theory - minimisation - SLAM (robots)","graph optimization sparsification - standard pose-graph formulation - simultaneous localization and mapping - SLAM - memory resources - consistent graph sparsification scheme - graph node marginalization - graph node sparsification - consistent relative constraints - consistent l1-regularized minimization problem - synthetic data - real data - graph edge sparsification","C3390 Robotics - C1160 Combinatorial mathematics - C1180 Optimisation techniques","","Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C)","Inspec","Copyright 2014, The Institution of Engineering and Technology","Engineering Village"
"Robust Visual Place Recognition Based on Context Information","19623621","Deyun Dai (1); Zonghai Chen (1); Jikai Wang (1); Peng Bao (1); Hao Zhao (1) ","(1) University of Science and Technology of China, Department of Automation, China ","IFAC - Papers Online","IFAC, Pap. Online (Netherlands)","","Elsevier B.V.","52","22","49-54","2019","English","2405-8963","","","10.1016/j.ifacol.2019.11.046","","","","","Netherlands","Journal article (JA)","","In large-scale and long-term visual SLAM, robust place recognition is essential for building a global consistent map. However, sensor viewpoints and environmental condition changes, including lighting, weather, and seasons, bring a huge challenge to place recognition. We propose a place recognition algorithm based on CNN features and graph model. Firstly, CNN features of images are extracted though an AlexNet network with migration characteristics, and N-nearest neighbor image descriptors of the current image descriptor are found by approximate nearest neighbor searching. Then, according to the difference between descriptors, a weighted directed acyclic graph (weighted DAG) model which describes a cost of context matching between images is established. Finally, a candidate matching sequence with minimum cost on this model is achieved by using Dijkstra algorithm. Compared with SeqCNNSLAM and Fast-SeqSLAM, the experimental results demonstrate higher recognition accuracy and robustness of our algorithm. [All rights reserved Elsevier].","18","convolutional neural nets - directed graphs - feature extraction - image matching - nearest neighbour methods - object recognition - SLAM (robots)","approximate nearest neighbor searching - weighted directed acyclic graph model - context matching - robust visual place recognition - context information - global consistent map - sensor viewpoints - environmental condition changes - place recognition algorithm - CNN features - AlexNet network - migration characteristics - neighbor image descriptors - current image descriptor - candidate matching sequence","B6135E Image recognition - B0240Z Other topics in statistics - B0250 Combinatorial mathematics - C5260B Computer vision and image processing techniques - C5290 Neural computing techniques - C1140Z Other topics in statistics - C1160 Combinatorial mathematics","G06F17/18 - G06N5/00 - G06T - G06N3/02 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"Active airborne localisation and exploration in unknown environments using inertial SLAM","9109904","Bryson, M. (1); Salah Sukkarieh (1) ","(1) Sydney Univ., ARC Centre of Excellence in Autonomous Syst., Sydney, NSW, Australia ","2006 IEEE Aerospace Conference (IEEE Cat. No. 05TH8853C)","","Aerospace and Electron. Syst. Soc","IEEE","","","13 pp.","2006","English","","0-7803-9545-X","","","2006 IEEE Aerospace Conference","4-11 March 2006","Big Sky, MT, USA","","","Conference article (CA)","","Future unmanned aerial vehicle (UAV) applications will require high-accuracy localisation in environments in which navigation infrastructure such as the Global Positioning System (GPS) and prior terrain maps may be unavailable or unreliable. In these applications, long-term operation requires the vehicle to build up a spatial map of the environment while simultaneously localising itself within the map, a task known as simultaneous localisation and mapping (SLAM). In the first part of this paper we present an architecture for performing inertial-sensor based SLAM on an aerial vehicle. We demonstrate an on-line path planning scheme that intelligently plans the vehicle's trajectory while exploring unknown terrain in order to maximise the quality of both the resulting SLAM map and localisation estimates necessary for the autonomous control of the UAV. Two important performance properties and their relationship to the dynamic motion and path planning systems on-board the UAV are analysed. Firstly we analyse information-based measures such as entropy. Secondly we perform an observability analysis of inertial SLAM by recasting the algorithms into an indirect error model form. Qualitative knowledge gained from the observability analysis is used to assist in the design of an information-based trajectory planner for the UAV. Results of the online path planning algorithm are presented using a high-fidelity 6-DoF simulation of a UAV during a simulated navigation and mapping task.","13","aircraft instrumentation - aircraft navigation - Global Positioning System - path planning - remotely operated vehicles - sensors - terrain mapping","active airborne localisation - active airborne exploration - unmanned aerial vehicle applications - navigation infrastructure - spatial map - Simultaneous Localisation And Mapping - inertial sensor - on-line path planning scheme - vehicle trajectory - autonomous control - dynamic motion - path planning systems - entropy - observability analysis - indirect error model form - information-based trajectory planner - online path planning algorithm - high-fidelity 6-DoF simulation - mapping task","B7630 Aerospace instrumentation and equipment - B6330 Radionavigation and direction finding - B7230 Sensing devices and transducers - C7460 Aerospace engineering computing - C3360L Aerospace control","G01S - G05D1/00 - B60W30/095 - G01T1/10","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2006, The Institution of Engineering and Technology","Engineering Village"
"How to learn an illumination robust image feature for place recognition","13844045","Lategahn, H. (1); Beck, J. (1); Kitt, B. (1); Stiller, C. (1) ","(1) Karlsruhe Institute of Technology, Institute of Measurement and Control, Germany ","2013 IEEE Intelligent Vehicles Symposium (IV)","","IEEE Intell. Transp. Syst. Soc.","IEEE","","","285-91","2013","English","","","978-1-4673-2754-1","10.1109/IVS.2013.6629483","2013 IEEE Intelligent Vehicles Symposium (IV)","23-26 June 2013","Gold Coast, QLD, Australia","","","Conference article (CA)","","Place recognition for loop closure detection lies at the heart of every Simultaneous Localization and Mapping (SLAM) method. Recently methods that use cameras and describe the entire image by one holistic feature vector have experienced a resurgence. Despite the success of these methods, it remains unclear how a descriptor should be constructed for this particular purpose. The problem of choosing the right descriptor becomes even more pronounced in the context of life long mapping. The appearance of a place may vary considerably under different illumination conditions and over the course of a day. None of the handcrafted descriptors published in literature are particularly designed for this purpose. Herein, we propose to use a set of elementary building blocks from which millions of different descriptors can be constructed automatically. Moreover, we present an evaluation function which evaluates the performance of a given image descriptor for place recognition under severe lighting changes. Finally we present an algorithm to efficiently search the space of descriptors to find the best suited one. Evaluating the trained descriptor on a test set shows a clear superiority over its hand crafted counter parts like BRIEF and U-SURF. Finally we show how loop closures can be reliably detected using the automatically learned descriptor. Two overlapping image sequences from two different days and times are merged into one pose graph. The resulting merged pose graph is optimized and does not contain a single false link while at the same time all true loop closures were detected correctly. The descriptor and the place recognizer source code is published with datasets on http://www.mrt.kit.edu/libDird.php.","22","image sequences - mobile robots - SLAM (robots)","illumination robust image feature - place recognition - loop closure detection - simultaneous localization and mapping - SLAM method - cameras - feature vector - evaluation function - image descriptor - image sequences - pose graph - place recognizer source code","B6135 Optical, image and video signal processing - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G05D1/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2013, The Institution of Engineering and Technology","Engineering Village"
"Episodic non-Markov localization","16740705","Biswas, J. (1); Veloso, M.M. (1) ","(1) Carnegie Mellon University, Computer Science Department, Pittsburgh, PA, United States ","Robotics and Autonomous Systems","Robot. Auton. Syst. (Netherlands)","","Elsevier B.V.","87","","162-76","Jan. 2017","English","0921-8890","","","10.1016/j.robot.2016.09.005","","","","RASOEJ","Netherlands","Journal article (JA)","","Markov localization and its variants are widely used for mobile robot localization. These methods assume Markov independence of observations, implying that the observations can be entirely explained by a map. However, in real human environments, robots frequently make unexpected observations due to unmapped static objects like chairs and tables, and dynamic objects like humans. We therefore introduce Episodic non-Markov Localization (EnML), which reasons about the world as consisting of three classes of objects: long-term features corresponding to permanent mapped objects, short-term features corresponding to unmapped static objects, and dynamic features corresponding to unmapped moving objects. Long-term features are represented by a static map, while short-term features are detected and tracked in real-time. To reason about unexpected observations and their correlations across poses, we augment the Dynamic Bayesian Network for Markov localization to include varying edges and nodes, resulting in a novel Varying Graphical Network representation. The maximum likelihood estimate of the belief is incrementally computed by non-linear functional optimization. By detecting timesteps along the robot's trajectory where unmapped observations prior to such time steps are unrelated to those afterwards, EnML limits the history of observations and pose estimates to “episodes” over which the belief is computed. We demonstrate EnML using different types of sensors including laser rangefinders and depth cameras, and over multiple datasets, comparing it with alternative approaches. We further include results of a team of indoor autonomous service mobile robots traversing hundreds of kilometers using EnML. [All rights reserved Elsevier].","37","belief networks - laser ranging - Markov processes - maximum likelihood estimation - mobile robots - optimisation - sensor placement - trajectory control","episodic nonMarkov localization - EnML - mobile robot localization - autonomous service mobile robots - depth cameras - laser rangefinders - episodes - pose estimate limiting - robot trajectory - timestep detection - nonlinear functional optimization - maximum likelihood estimation - varying graphical network representation - dynamic Bayesian network - static map - unmapped moving objects - dynamic features - short-term features - permanent mapped objects - long-term features - unmapped static objects - Markov observation independence","B6250K Wireless sensor networks - B7320C Spatial variables measurement - B0260 Optimisation techniques - B0240J Markov processes - C3390C Mobile robots - C6170K Knowledge engineering techniques - C3120C Spatial variables control - C1180 Optimisation techniques - C1140J Markov processes","G01B - G01C3/00 - G01S17/00 - G05D1/00 - G05D3/00 - G06F15/18 - H04B7/00 - H04W - G06N5/04","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2017, The Institution of Engineering and Technology","Engineering Village"
"An Adaptive Gaussian Particle Filter based Simultaneous Localization and Mapping with dynamic process model noise bias compensation","15475821","Rao, A. (1); Wang Han (2) ","(1) Nanyang Technological University, School of Electrical and Electronics Engineering, Singapore (2) Nanyang Technological University, School of Electrical and Electronics Engineering, Singapore ","2015 IEEE 7th International Conference on Cybernetics and Intelligent Systems (CIS) and IEEE Conference on Robotics, Automation and Mechatronics (RAM). Proceedings","","","IEEE","","","210-15","2015","English","","","978-1-4673-7338-8","10.1109/ICCIS.2015.7274622","2015 IEEE 7th International Conference on Cybernetics and Intelligent Systems (CIS) and IEEE Conference on Robotics, Automation and Mechatronics (RAM)","15-17 July 2015","Siem Reap, Cambodia","","","Conference article (CA)","","Simultaneous Localization and Mapping (SLAM) is a fundamental component of all autonomous robotics systems, which probabilisticaly fuses information from an exteroceptive sensor and a proprioceptive sensor to simultaneously estimate the robot's trajectory and the map. Inputs from the pro-prioceptive sensor are fed into the estimation algorithm via a process model corresponding with the vehicle kinematics, while a measurement model is used to process inputs from the exteroceptive sensor. Most SLAM algorithms assume known, fixed model estimate bias. This assumption does not hold true for systems with wrongly modeled estimate bias, or those affected by component fatigue due to applications requiring long term autonomy. This paper will display the adverse effects of mismodeled process model bias using a simulation. An adaptive algorithm employing Adaptive Gaussian Particle Filter based process model bias compensation will be deployed in tandem with a particle filter based FastSLAM algorithm. The algorithm will be compared favourably with existing state of the art SLAM algorithms in controlled simulations. Experimental data from a marine environment will be used to validate the efficacy of the algorithm.","14","adaptive filters - Gaussian processes - mobile robots - particle filtering (numerical methods) - sensor fusion - trajectory control","adaptive Gaussian particle filter - simultaneous localization and mapping - dynamic process model noise bias compensation - autonomous robotic system - probabilistic information fusion - exteroceptive sensor - proprioceptive sensor - robot trajectory estimation - vehicle kinematics - model estimate bias - adaptive algorithm - FastSLAM algorithm - marine environment","B6140 Signal processing and detection - B0240Z Other topics in statistics - C5260A Sensor fusion - C1140Z Other topics in statistics - C3120C Spatial variables control - C3390C Mobile robots","G05D1/00 - G05D3/00 - H03H21/00","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2015, The Institution of Engineering and Technology","Engineering Village"
"Range-focused fusion of Camera-IMU-UWB for accurate and drift-reduced localization","20379909","Thien Hoang Nguyen (1); Thien-Minh Nguyen (1); Lihua Xie (1) ","(1) Nanyang Technological University, School of Electrical and Electronic Engineering, Singapore ","IEEE Robotics and Automation Letters","IEEE Robot. Autom. Lett. (USA)","","IEEE","6","2","1678-85","April 2021","English","2377-3766","","","10.1109/LRA.2021.3057838","","","","IRALC6","USA","Journal article (JA)","","In this work, we present a tightly-coupled fusion scheme of a monocular camera, a 6-DoF IMU, and a single unknown Ultra-wideband (UWB) anchor to achieve accurate and drift-reduced localization. Specifically, this letter focuses on incorporating the UWB sensor into an existing state-of-the-art visual-inertial system. Previous works toward this goal use a single nearest UWB range data to update robot positions in the sliding window (“position-focused”) and have demonstrated encouraging results. However, these approaches ignore 1) the time-offset between UWB and camera sensors, and 2) all other ranges between two consecutive keyframes. Our approach shifts the perspective to the UWB measurements (“range-focused”) by leveraging the propagated information readily available from the visual-inertial odometry pipeline. This allows the UWB data to be used in a more effective manner: the time-offset of each range data is addressed and all available measurements can be utilized. Experimental results show that the proposed method consistently outperforms previous methods in both estimating the anchor position and reducing the drift in long-term trajectories.","36","cameras - distance measurement - image fusion - inertial navigation - inertial systems - mobile robots - pose estimation - position control - radiofrequency measurement - robot vision - SLAM (robots) - ultra wideband technology","robot positions - camera-IMU-UWB - state-of-the-art visual-inertial system - position-focused sliding window - tightly-coupled fusion scheme - UWB sensor - ultra-wideband sensor - 6-DoF IMU - monocular camera - drift-reduced localization - range-focused fusion - anchor position estimation - UWB data - visual-inertial odometry pipeline - UWB measurements - camera sensors - time-offset","B7320C Spatial variables measurement - B6135E Image recognition - B7310N Microwave measurement techniques - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C3120C Spatial variables control","G01B - G01P7/00 - G03B17/00 - G03B19/00 - G05D1/00 - G05D3/00 - G06K9/00 - G06T - G01C21/16","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Monocular visual odometry based on hybrid parameterization","19506958","Mohamed, S.A.S. (1); Haghbayan, M.-H. (1); Heikkonen, J. (1); Tenhunen, H. (2); Plosila, J. (1) ","(1) University of Turku (UTU), Finland (2) Royal Institute of Technology (KTH), Sweden ","Proceedings of the SPIE","Proc. SPIE (USA)","","SPIE","11433","","114332A (6 pp.)","2019","English","0277-786X","","","10.1117/12.2556718","Twelfth International Conference on Machine Vision (ICMV 2019)","16-18 Nov. 2019","Amsterdam, Netherlands","PSISDG","USA","Conference article (CA)","","Visual odometry (VO) is one of the most challenging techniques in computer vision for autonomous vehicle/vessels. In VO, the camera pose that also represents the robot pose in ego-motion is estimated analyzing the features and pixels extracted from the camera images. Different VO techniques mainly provide different trade-offs among the resources that are being considered for odometry, such as camera resolution, computation/communication capacity, power/energy consumption, and accuracy. In this paper, a hybrid technique is proposed for camera pose estimation by combining odometry based on triangulation using the long-term period of direct-based odometry and the short-term period of inverse depth mapping. Experimental results based on the EuRoC data set shows that the proposed technique significantly outperforms the traditional direct-based pose estimation method for Micro Aerial Vehicle (MAV), keeping its potential negative effect on performance negligible.","13","computer vision - distance measurement - image sensors - motion estimation - pose estimation - robot vision - SLAM (robots)","EuRoC data set - computation-communication capacity - autonomous vehicle-vessels - microaerial vehicle - estimation method - inverse depth mapping - direct-based odometry - camera resolution - camera images - ego-motion - computer vision - hybrid parameterization - monocular visual odometry","B6135E Image recognition - B7230G Image sensors - B7320C Spatial variables measurement - C5260B Computer vision and image processing techniques - C3390C Mobile robots","G01B - G05D1/00 - G06K9/00 - G06T - G06T7/20 - H01L27/146 - H04N5/30","Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"Globally Optimal Fetoscopic Mosaicking Based on Pose Graph Optimisation With Affine Constraints","21053400","Liang Li (1); Bano, S. (1); Deprest, J. (2); David, A. (1); Stoyanov, D. (1); Vasconcelos, F. (1) ","(1) University College London, Department of Computer Science, United Kingdom (2) KU Leuven, Department of Development and Regeneration, Belgium ","IEEE Robotics and Automation Letters","IEEE Robot. Autom. Lett. (USA)","","IEEE","6","4","7831-8","2021","English","2377-3766","","","10.1109/LRA.2021.3100938","","","","IRALC6","USA","Journal article (JA)","","Fetoscopic laser ablation surgery could be guided using a high-quality panorama of the operating site, representing a map of the placental vasculature. This can be achieved during the initial inspection phase of the procedure using image mosaicking techniques. Due to the lack of camera calibration in the operating room, it has been mostly modelled as an affine registration problem. While previous work mostly focuses on image feature extraction for visual odometry, the challenges related to large-scale reconstruction (re-localisation, loop closure, drift correction) remain largely unaddressed in this context. This letter proposes using pose graph optimisation to produce globally optimal image mosaics of placental vessels. Our approach follows the SLAM framework with a front-end for visual odometry and a back-end for long-term refinement. Our front-end uses a recent state-of-the-art odometry approach based on vessel segmentation, which is then managed by a key-frame structure and the bag-of-words (BoW) scheme to retrieve loop closures. The back-end, which is our key contribution, models odometry and loop closure constraints as a pose graph with affine warpings between states. This problem in the special Euclidean space cannot be solved by existing pose graph algorithms and available libraries such as G2O. We model states on affine Lie group with local linearisation in its Lie algebra. The cost function is established using Mahalanobis distance with the vectorisation of the Lie algebra. Finally, an iterative optimisation algorithm is adopted to minimise the cost function. The proposed pose graph optimisation is first validated on simulation data with a synthetic trajectory that has different levels of noise and different numbers of loop closures. Then the whole system is validated using real fetoscopic data that has three sequences with different numbers of frames and loop closures. Experimental results validate the advantage of the proposed method compared with baselines.","31","cameras - distance measurement - feature extraction - graph theory - image registration - image segmentation - image sensors - iterative methods - Lie algebras - medical image processing - mobile robots - object tracking - optimisation - pose estimation - robot vision - SLAM (robots) - surgery","globally optimal fetoscopic mosaicking - pose graph optimisation - affine constraints - fetoscopic laser ablation surgery - high-quality panorama - operating site - placental vasculature - initial inspection phase - image mosaicking techniques - operating room - affine registration problem - image feature extraction - visual odometry - loop closure - globally optimal image mosaics - placental vessels - recent state-of-the-art odometry approach - models odometry - affine warpings - existing pose graph - model states - affine Lie group - Lie algebra - iterative optimisation algorithm - fetoscopic data","A8770E Patient diagnostic methods and instrumentation - A0210 Algebra, set theory, and graph theory - B6135 Optical, image and video signal processing - B6135E Image recognition - B7230G Image sensors - B0250 Combinatorial mathematics - B0260 Optimisation techniques - C5260B Computer vision and image processing techniques - C7330 Biology and medical computing - C1160 Combinatorial mathematics - C1180 Optimisation techniques - C3390C Mobile robots","A61B17/00 - G01N33/48 - G03B17/00 - G03B19/00 - G05D1/00 - G06K9/00 - G06T - H01L27/146 - H04N5/30 - G16B","Practical (PRA); Theoretical or Mathematical (THR)","Physics (A); Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Research on object recognition using bag of word model for mobile robot navigation","12194882","Jin-fu Yang (1); Kai Wang (1); Ming-ai Li (1); Lu Liu (1) ","(1) Beijing University of Technology, College of Electronic Information & Control Engineering, China ","Proceedings of the 2011 IEEE International Conference on Mechatronics and Automation (ICMA 2011)","","","IEEE","","","1735-40","2011","English","","","978-1-4244-8113-2","10.1109/ICMA.2011.5986295","2011 IEEE International Conference on Mechatronics and Automation (ICMA 2011)","7-10 Aug. 2011","Beijing, China","","","Conference article (CA)","","Robust long term positioning for autonomous mobile robots is essential for many applications. Key to a successful visual SLAM system is correctly recognizing the objects and labeling where the robot is. Local image features are popular with constructing object recognition system, which are invariant to image scaling, translation, rotation, and partially invariant to illumination changes and affine. In this paper, we proposed an object recognition method based on the bag of word model, mainly idea includes three steps as follows: firstly, a set of local image patches are sampled using a key point detector, and each patch is a descriptor based on scale invariant feature transform. Then outliers are removed by RANSAC algorithm, and the resulting distribution of descriptors is quantified by using vector quantization against a pre-specified codebook to convert it to a histogram of votes for codebook centers. Finally, a KNN algorithm is used to classify images through the resulting global descriptor vector. The experimental results show that our proposed method has a better performance against the previous methods.","31","image classification - image coding - mobile robots - object recognition - path planning - random processes - robot vision - SLAM (robots) - vector quantisation","object recognition - bag of word model - mobile robot navigation - long term positioning - autonomous mobile robot - visual SLAM system - local image feature - image scaling - image translation - image rotation - local image patch - key point detector - scale invariant feature transform - RANSAC algorithm - vector quantization - codebook center - KNN algorithm is - image classification","B6135E Image recognition - B6135C Image and video coding - B0240Z Other topics in statistics - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C3120C Spatial variables control - C1140Z Other topics in statistics","G05D1/00 - G05D3/00 - G06T - G06T9/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2011, The Institution of Engineering and Technology","Engineering Village"
"Vision-based Markov localization across large perceptual changes","15589670","Naseer, T. (1); Suger, B. (1); Ruhnke, M. (1); Burgard, W. (1) ","(1) University of Freiburg, Autonomous Intelligent Systems Group, Germany ","2015 European Conference on Mobile Robots (ECMR). Proceedings","","","IEEE","","","6 pp.","2015","English","","","978-1-4673-9163-4","10.1109/ECMR.2015.7324181","2015 European Conference on Mobile Robots (ECMR)","2-4 Sept. 2015","Lincoln, UK","","","Conference article (CA)","","Recently, there has been significant progress towards lifelong, autonomous operation of mobile robots, especially in the field of localization and mapping. One important challenge in this context is visual localization under substantial perceptual changes, for example, coming from different seasons. In this paper, we present an approach to localize a mobile robot with a low frequency camera with respect to an image sequence, recorded previously within a different season. Our approach uses a discrete Bayes filter and a sensor model based on whole image descriptors. Thereby it exploits sequential information to model the dynamics of the system. Since we compute a probability distribution over the whole state space, our approach can handle more complex trajectories that may include same season loop-closures as well as fragmented sub-sequences. Throughout an extensive experimental evaluation on challenging datasets, we demonstrate that our approach outperforms state-of-the-art techniques.","20","Bayes methods - image filtering - image sequences - Markov processes - mobile robots - robot vision - SLAM (robots)","vision-based Markov localization - mobile robot autonomous operation - substantial perceptual changes - low frequency camera - image sequence - discrete Bayes filter - sensor model - probability distribution","B6135 Optical, image and video signal processing - B6140B Filtering methods in signal processing - B0240J Markov processes - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C1140J Markov processes","G05D1/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2015, The Institution of Engineering and Technology","Engineering Village"
"Migratory birds-inspired navigation system for unmanned aerial vehicles","16639425","Yu Zhang (1); Ainong Chao (1); Boxin Zhao (1); Huawei Liu (1); Xiaolin Zhao (1) ","(1) Air Force Engineering University, College of Aerospace Engineering, China ","2016 IEEE International Conference on Information and Automation (ICIA). Proceedings","","","IEEE","","","276-81","2016","English","","","978-1-5090-4102-2","10.1109/ICInfA.2016.7831835","2016 IEEE International Conference on Information and Automation (ICIA)","1-3 Aug. 2016","Ningbo, China","","","Conference article (CA)","","Migration birds are able to navigate themselves during a long-distance journey without getting lost. They actually achieve just what is being sought for in the field of Unmanned Aerial Vehicles (UAVs): long-term autonomous navigation. This paper proposes an approach that combines the migration birds' sense principles with Micro-Electro-Mechanical System (MEMS) sensors to estimate UAVs position within GPS-denied environments. Camera, orientation and web-based maps (such as Google/Baidu Maps) are chosen to simulate the birds' localization cues: vision, earth magnetic field and mental maps. The visual odometry, Particle Filter theories are used in the proposed approach to integrate multiple sensor measurements. Real flying experiments are conducted both in indoor and outdoor environments. The results validate that the proposed migration-inspired visual odometry system can estimate the UAV localization effectively.","22","aerospace navigation - autonomous aerial vehicles - cameras - distance measurement - geomagnetism - Internet - microsensors - particle filtering (numerical methods) - robot vision","long-distance journey - unmanned aerial vehicles - long-term autonomous navigation - migration bird sense principles - microelectromechanical system sensors - MEMS sensors - UAV position estimation - GPS-denied environments - camera - Web-based maps - bird localization cues - bird vision - earth magnetic field - mental maps - visual odometry - particle filter theories - multiple sensor measurements - real flying experiments - migration-inspired visual odometry system - UAV localization","B7320C Spatial variables measurement - B6135 Optical, image and video signal processing - B6140B Filtering methods in signal processing - C3360L Aerospace control - C3390C Mobile robots - C3390T Telerobotics - C5260B Computer vision and image processing techniques - C6190J Internet software","B81B - G01B - G01C21/00 - G01V3/00 - G03B17/00 - G03B19/00 - G05D1/00 - G06F9/44 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2017, The Institution of Engineering and Technology","Engineering Village"
"Vision-aided Multi-UAV Autonomous Flocking in GPS-denied Environment","18059467","Yazhe Tang (1); Yuchao Hu (1); Jinqiang Cui (1); Fang Liao (1); Mingjie Lao (1); Feng Lin (1); Teo, R.S.H. (1) ","(1) National University of Singapore, Temasek Laboratories, Singapore ","IEEE Transactions on Industrial Electronics","IEEE Trans. Ind. Electron. (USA)","","IEEE","66","1","616-26","Jan. 2019","English","0278-0046","","","10.1109/TIE.2018.2824766","","","","ITIED6","USA","Journal article (JA)","","This paper presents a sophisticated vision-aided flocking system for unmanned aerial vehicles (UAVs), which is able to operate in GPS-denied unknown environments for exploring and searching missions, and also able to adopt two types of vision sensors, day and thermal cameras, to measure relative motion between UAVs in different lighting conditions without using wireless communication. In order to realize robust vision-aided flocking, an integrated framework of tracking-learning-detection on the basis of multifeature coded correlation filter has been developed. To achieve long-term tracking, a redetector is trained online to adaptively reinitialize target for global sensing. An advanced flocking strategy is developed to address the autonomous multi-UAVs' cooperative flight. Light detection and ranging (LiDAR)-based navigation modules are developed for autonomous localization, mapping, and obstacle avoidance. Flight experiments of a team of UAVs have been conducted to verify the performance of this flocking system in a GPS-denied environment. The extensive experiments validate the robustness of the proposed vision algorithms in challenging scenarios.","29","autonomous aerial vehicles - collision avoidance - Global Positioning System - image sensors - mobile robots - multi-robot systems - optical radar - robot vision","GPS-denied environment - vision algorithms - vision-aided multiUAV autonomous flocking - unmanned aerial vehicles - UAVs - GPS-denied unknown environments - vision sensors - tracking-learning-detection - multifeature coded correlation filter - long-term tracking - advanced flocking strategy - autonomous localization - lighting conditions - autonomous multiUAVs cooperative flight - vision-aided flocking system - searching missions - thermal cameras - wireless communication - global sensing - light detection and ranging-based navigation modules - obstacle avoidance - autonomous mapping - LIDAR","B6330 Radionavigation and direction finding - B6320C Optical radar - B6135 Optical, image and video signal processing - B7230G Image sensors - C3360L Aerospace control - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C3120C Spatial variables control","B60W30/08 - G01S - G01S17/00 - G05D1/00 - G05D3/00 - G06T - G08G - H01L27/146 - H04N5/30 - G01S19/01","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2018, The Institution of Engineering and Technology","Engineering Village"
