id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
25	organ stud	<table><tr><td>Journal:</td><td>ORGANIZATION STUDIES</td></tr><tr><td>ISSN:</td><td>0170-8406</td></tr><tr></tr></table>	0.4043	0.5583	2	80	287	256	2.042
26	econ j	<table><tr><td>Journal:</td><td>ECONOMIC JOURNAL</td></tr><tr><td>ISSN:</td><td>0013-0133</td></tr><tr></tr></table>	-0.5698	-0.0464	1	80	199	254	1.548
27	harvard bus rev	<table><tr><td>Journal:</td><td>HARVARD BUSINESS REVIEW</td></tr><tr><td>ISSN:</td><td>0017-8012</td></tr><tr></tr></table>	0.7737	0.4298	2	69	219	240	1.323
28	j manage stud	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT STUDIES</td></tr><tr><td>ISSN:</td><td>0022-2380</td></tr><tr></tr></table>	0.6289	0.6034	2	67	286	240	1.926
29	rev econ stud	<table><tr><td>Journal:</td><td>REVIEW OF ECONOMIC STUDIES</td></tr><tr><td>ISSN:</td><td>0034-6527</td></tr><tr></tr></table>	-0.6717	-0.1291	1	87	231	239	2.539
30	mis quart	<table><tr><td>Journal:</td><td>MIS QUARTERLY</td></tr><tr><td>ISSN:</td><td>0276-7783</td></tr><tr></tr></table>	1.1045	0.0766	4	52	229	238	5.826
31	j int econ	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0022-1996</td></tr><tr></tr></table>	-0.8173	-0.2334	1	53	203	236	1.541
32	eur econ rev	<table><tr><td>Journal:</td><td>EUROPEAN ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0014-2921</td></tr><tr></tr></table>	-0.6948	-0.1014	1	65	161	235	0.994
33	j econ perspect	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC PERSPECTIVES</td></tr><tr><td>ISSN:</td><td>0895-3309</td></tr><tr></tr></table>	-0.3955	-0.0268	1	76	193	230	2.831
34	rev econ stat	<table><tr><td>Journal:</td><td>REVIEW OF ECONOMICS AND STATISTICS</td></tr><tr><td>ISSN:</td><td>0034-6535</td></tr><tr></tr></table>	-0.6951	-0.1428	1	76	195	226	1.724
35	j health econ	<table><tr><td>Journal:</td><td>JOURNAL OF HEALTH ECONOMICS</td></tr><tr><td>ISSN:</td><td>0167-6296</td></tr><tr></tr></table>	-0.5534	-0.252	1	35	96	220	1.521
36	market sci	<table><tr><td>Journal:</td><td>MARKETING SCIENCE</td></tr><tr><td>ISSN:</td><td>0732-2399</td></tr><tr></tr></table>	0.5505	-0.0025	4	47	163	218	3.964
37	decis support syst	<table><tr><td>Journal:</td><td>DECISION SUPPORT SYSTEMS</td></tr><tr><td>ISSN:</td><td>0167-9236</td></tr><tr></tr></table>	1.1277	-0.2527	3	31	114	216	1.119
38	j consum res	<table><tr><td>Journal:</td><td>JOURNAL OF CONSUMER RESEARCH</td></tr><tr><td>ISSN:</td><td>0093-5301</td></tr><tr></tr></table>	0.5147	0.0276	4	35	118	215	1.738
39	j monetary econ	<table><tr><td>Journal:</td><td>JOURNAL OF MONETARY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0304-3932</td></tr><tr></tr></table>	-0.91	-0.2368	1	56	254	203	1.478
40	j optimiz theory app	<table><tr><td>Journal:</td><td>JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS</td></tr><tr><td>ISSN:</td><td>0022-3239</td></tr><tr></tr></table>	0.8539	-0.8917	3	15	38	201	0.688
41	j bank financ	<table><tr><td>Journal:</td><td>JOURNAL OF BANKING & FINANCE</td></tr><tr><td>ISSN:</td><td>0378-4266</td></tr><tr></tr></table>	-0.7998	0.177	5	51	169	191	0.753
42	j account econ	<table><tr><td>Journal:</td><td>JOURNAL OF ACCOUNTING & ECONOMICS</td></tr><tr><td>ISSN:</td><td>0165-4101</td></tr><tr></tr></table>	-1.0108	0.8871	5	31	204	187	3.034
43	inform manage-amster	<table><tr><td>Journal:</td><td>INFORMATION & MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0378-7206</td></tr><tr></tr></table>	0.9786	0.016	4	46	152	185	1.631
44	math program	<table><tr><td>Journal:</td><td>MATHEMATICAL PROGRAMMING</td></tr><tr><td>ISSN:</td><td>0025-5610</td></tr><tr></tr></table>	0.8394	-0.9005	3	13	38	184	1.475
45	j marketing res	<table><tr><td>Journal:</td><td>JOURNAL OF MARKETING RESEARCH</td></tr><tr><td>ISSN:</td><td>0022-2437</td></tr><tr></tr></table>	0.4575	-0.1015	4	60	206	184	1.739
46	appl econ	<table><tr><td>Journal:</td><td>APPLIED ECONOMICS</td></tr><tr><td>ISSN:</td><td>0003-6846</td></tr><tr></tr></table>	-0.5255	-0.2765	1	48	92	182	0.473
47	rev financ stud	<table><tr><td>Journal:</td><td>REVIEW OF FINANCIAL STUDIES</td></tr><tr><td>ISSN:</td><td>0893-9454</td></tr><tr></tr></table>	-0.8064	0.0527	5	47	168	181	2.16
48	oper res	<table><tr><td>Journal:</td><td>OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0030-364X</td></tr><tr></tr></table>	0.7045	-0.6779	3	36	90	180	1.467
49	econ lett	<table><tr><td>Journal:</td><td>ECONOMICS LETTERS</td></tr><tr><td>ISSN:</td><td>0165-1765</td></tr><tr></tr></table>	-0.5817	-0.2521	1	59	121	179	0.302
50	j organ behav	<table><tr><td>Journal:</td><td>JOURNAL OF ORGANIZATIONAL BEHAVIOR</td></tr><tr><td>ISSN:</td><td>0894-3796</td></tr><tr></tr></table>	0.7596	0.6404	2	45	125	179	1.981
51	game econ behav	<table><tr><td>Journal:</td><td>GAMES AND ECONOMIC BEHAVIOR</td></tr><tr><td>ISSN:</td><td>0899-8256</td></tr><tr></tr></table>	-0.363	-0.3119	1	37	82	171	1.468
52	j bus ethics	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS ETHICS</td></tr><tr><td>ISSN:</td><td>0167-4544</td></tr><tr></tr></table>	0.3219	0.5156	2	53	130	170	0.538
53	technovation	<table><tr><td>Journal:</td><td>TECHNOVATION</td></tr><tr><td>ISSN:</td><td>0166-4972</td></tr><tr></tr></table>	0.6111	0.2465	2	46	125	169	1.004
54	j environ econ manag	<table><tr><td>Journal:</td><td>JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0095-0696</td></tr><tr></tr></table>	-0.3239	-0.279	1	45	108	168	1.438
55	j bus	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS</td></tr><tr><td>ISSN:</td><td>0021-9398</td></tr><tr></tr></table>	-0.6996	0.3525	5	58	189	165	1.133
56	reliab eng syst safe	<table><tr><td>Journal:</td><td>RELIABILITY ENGINEERING & SYSTEM SAFETY</td></tr><tr><td>ISSN:</td><td>0951-8320</td></tr><tr></tr></table>	1.0553	-0.6565	3	17	40	164	1.004
57	j oper res soc	<table><tr><td>Journal:</td><td>JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY</td></tr><tr><td>ISSN:</td><td>0160-5682</td></tr><tr></tr></table>	0.6929	-0.5899	3	26	81	161	0.784
58	j econ lit	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC LITERATURE</td></tr><tr><td>ISSN:</td><td>0022-0515</td></tr><tr></tr></table>	-0.6492	-0.1777	1	48	140	158	3.973
59	am j agr econ	<table><tr><td>Journal:</td><td>AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0002-9092</td></tr><tr></tr></table>	-0.3149	-0.3471	1	35	78	153	1.034
60	j manage	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0149-2063</td></tr><tr></tr></table>	0.591	0.634	2	62	197	153	2
61	j int bus stud	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL BUSINESS STUDIES</td></tr><tr><td>ISSN:</td><td>0047-2506</td></tr><tr></tr></table>	0.7511	0.4621	2	53	220	151	2.283
62	account rev	<table><tr><td>Journal:</td><td>ACCOUNTING REVIEW</td></tr><tr><td>ISSN:</td><td>0001-4826</td></tr><tr></tr></table>	-0.8844	0.9268	5	34	182	150	1.733
63	transport res b-meth	<table><tr><td>Journal:</td><td>TRANSPORTATION RESEARCH PART B-METHODOLOGICAL</td></tr><tr><td>ISSN:</td><td>0191-2615</td></tr><tr></tr></table>	0.3469	-0.5659	3	18	38	148	1.948
64	j global optim	<table><tr><td>Journal:</td><td>JOURNAL OF GLOBAL OPTIMIZATION</td></tr><tr><td>ISSN:</td><td>0925-5001</td></tr><tr></tr></table>	0.9431	-0.9532	3	9	43	148	0.813
65	rev account stud	<table><tr><td>Journal:</td><td>REVIEW OF ACCOUNTING STUDIES</td></tr><tr><td>ISSN:</td><td>1380-6653</td></tr><tr></tr></table>	-1.102	0.9831	5	14	73	146	2.176
66	j econ theory	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC THEORY</td></tr><tr><td>ISSN:</td><td>0022-0531</td></tr><tr></tr></table>	-0.4591	-0.4143	1	37	103	142	1.353
67	j policy anal manag	<table><tr><td>Journal:</td><td>JOURNAL OF POLICY ANALYSIS AND MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0276-8739</td></tr><tr></tr></table>	-0.4878	-0.1771	1	19	37	139	1.8
68	acad manag learn edu	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT LEARNING & EDUCATION</td></tr><tr><td>ISSN:</td><td>1537-260X</td></tr><tr></tr></table>	0.487	0.6629	2	44	156	135	2.796
69	organ behav hum dec	<table><tr><td>Journal:</td><td>ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES</td></tr><tr><td>ISSN:</td><td>0749-5978</td></tr><tr></tr></table>	0.5274	0.2864	4	43	115	134	1.847
70	j econ behav organ	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION</td></tr><tr><td>ISSN:</td><td>0167-2681</td></tr><tr></tr></table>	-0.3557	-0.0907	1	49	87	133	0.772
71	omega-int j manage s	<table><tr><td>Journal:</td><td>OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE</td></tr><tr><td>ISSN:</td><td>0305-0483</td></tr><tr></tr></table>	1.1011	-0.4247	3	37	124	131	1.327
72	tourism manage	<table><tr><td>Journal:</td><td>TOURISM MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0261-5177</td></tr><tr></tr></table>	0.1377	-0.0833	4	20	27	131	0.89
73	rand j econ	<table><tr><td>Journal:</td><td>RAND JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0741-6261</td></tr><tr></tr></table>	-0.3283	-0.0957	1	44	90	130	1.44
74	environ resour econ	<table><tr><td>Journal:</td><td>ENVIRONMENTAL & RESOURCE ECONOMICS</td></tr><tr><td>ISSN:</td><td>0924-6460</td></tr><tr></tr></table>	-0.3456	-0.3512	1	39	99	129	1.237
75	econ theor	<table><tr><td>Journal:</td><td>ECONOMIC THEORY</td></tr><tr><td>ISSN:</td><td>0938-2259</td></tr><tr></tr></table>	-0.3811	-0.4236	1	28	34	127	0.602
76	oper res lett	<table><tr><td>Journal:</td><td>OPERATIONS RESEARCH LETTERS</td></tr><tr><td>ISSN:</td><td>0167-6377</td></tr><tr></tr></table>	0.9789	-0.88	3	15	57	124	0.517
77	j bus venturing	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS VENTURING</td></tr><tr><td>ISSN:</td><td>0883-9026</td></tr><tr></tr></table>	0.4024	0.4908	2	50	203	124	1.875
78	int j forecasting	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF FORECASTING</td></tr><tr><td>ISSN:</td><td>0169-2070</td></tr><tr></tr></table>	-0.4054	-0.2848	1	41	72	123	1.409
79	j appl economet	<table><tr><td>Journal:</td><td>JOURNAL OF APPLIED ECONOMETRICS</td></tr><tr><td>ISSN:</td><td>0883-7252</td></tr><tr></tr></table>	-0.9453	-0.3982	1	33	92	123	1.094
80	j money credit bank	<table><tr><td>Journal:</td><td>JOURNAL OF MONEY CREDIT AND BANKING</td></tr><tr><td>ISSN:</td><td>0022-2879</td></tr><tr></tr></table>	-0.8084	-0.1058	1	58	162	122	0.947
81	ann oper res	<table><tr><td>Journal:</td><td>ANNALS OF OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0254-5330</td></tr><tr></tr></table>	0.8098	-0.8076	3	31	62	122	0.544
82	entrep theory pract	<table><tr><td>Journal:</td><td>ENTREPRENEURSHIP THEORY AND PRACTICE</td></tr><tr><td>ISSN:</td><td>1042-2587</td></tr><tr></tr></table>	0.5874	0.5719	2	46	163	119	1.805
83	iie trans	<table><tr><td>Journal:</td><td>IIE TRANSACTIONS</td></tr><tr><td>ISSN:</td><td>0740-817X</td></tr><tr></tr></table>	0.994	-0.6064	3	36	103	119	0.797
84	j dev econ	<table><tr><td>Journal:</td><td>JOURNAL OF DEVELOPMENT ECONOMICS</td></tr><tr><td>ISSN:</td><td>0304-3878</td></tr><tr></tr></table>	-0.7227	-0.1695	1	44	93	118	0.912
85	j urban econ	<table><tr><td>Journal:</td><td>JOURNAL OF URBAN ECONOMICS</td></tr><tr><td>ISSN:</td><td>0094-1190</td></tr><tr></tr></table>	-0.3849	-0.2908	1	33	67	117	0.942
86	j manage inform syst	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT INFORMATION SYSTEMS</td></tr><tr><td>ISSN:</td><td>0742-1222</td></tr><tr></tr></table>	1.1893	0.0293	4	29	144	117	1.867
87	j eur econ assoc	<table><tr><td>Journal:</td><td>JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION</td></tr><tr><td>ISSN:</td><td>1542-4766</td></tr><tr></tr></table>	-0.8436	-0.2126	1	48	127	117	0.871
88	energ econ	<table><tr><td>Journal:</td><td>ENERGY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0140-9883</td></tr><tr></tr></table>	-0.5221	-0.2784	1	30	54	115	1.557
89	j hum resour	<table><tr><td>Journal:</td><td>JOURNAL OF HUMAN RESOURCES</td></tr><tr><td>ISSN:</td><td>0022-166X</td></tr><tr></tr></table>	-0.6352	-0.1823	1	33	75	112	1.162
90	j econ dyn control	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC DYNAMICS & CONTROL</td></tr><tr><td>ISSN:</td><td>0165-1889</td></tr><tr></tr></table>	-0.6038	-0.4565	1	36	81	111	0.703
91	admin sci quart	<table><tr><td>Journal:</td><td>ADMINISTRATIVE SCIENCE QUARTERLY</td></tr><tr><td>ISSN:</td><td>0001-8392</td></tr><tr></tr></table>	0.6999	0.7521	2	45	154	111	2.912
92	j econ geogr	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC GEOGRAPHY</td></tr><tr><td>ISSN:</td><td>1468-2702</td></tr><tr></tr></table>	-0.3129	-0.026	1	34	58	106	2.679
93	economet theor	<table><tr><td>Journal:</td><td>ECONOMETRIC THEORY</td></tr><tr><td>ISSN:</td><td>0266-4666</td></tr><tr></tr></table>	-0.6307	-0.2906	1	16	50	106	0.748
94	leadership quart	<table><tr><td>Journal:</td><td>LEADERSHIP QUARTERLY</td></tr><tr><td>ISSN:</td><td>1048-9843</td></tr><tr></tr></table>	0.7693	0.6248	2	31	81	104	1.763
95	ind market manag	<table><tr><td>Journal:</td><td>INDUSTRIAL MARKETING MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0019-8501</td></tr><tr></tr></table>	0.8871	0.1654	4	47	127	103	0.911
96	hum relat	<table><tr><td>Journal:</td><td>HUMAN RELATIONS</td></tr><tr><td>ISSN:</td><td>0018-7267</td></tr><tr></tr></table>	0.7144	0.8408	2	28	81	103	1.103
97	j oper manag	<table><tr><td>Journal:</td><td>JOURNAL OF OPERATIONS MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0272-6963</td></tr><tr></tr></table>	1.0438	-0.1905	3	43	141	102	1.851
98	int j hum resour man	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0958-5192</td></tr><tr></tr></table>	0.6519	0.5006	2	38	79	101	0.546
99	organization	<table><tr><td>Journal:</td><td>ORGANIZATION</td></tr><tr><td>ISSN:</td><td>1350-5084</td></tr><tr></tr></table>	0.5943	0.8102	2	25	65	100	1.169
100	j financ quant anal	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS</td></tr><tr><td>ISSN:</td><td>0022-1090</td></tr><tr></tr></table>	-0.5718	0.4633	5	38	123	98	1.342
101	psychol market	<table><tr><td>Journal:</td><td>PSYCHOLOGY & MARKETING</td></tr><tr><td>ISSN:</td><td>0742-6046</td></tr><tr></tr></table>	0.4949	0.0444	4	29	64	97	0.919
102	j int money financ	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL MONEY AND FINANCE</td></tr><tr><td>ISSN:</td><td>0261-5606</td></tr><tr></tr></table>	-0.9437	-0.2358	1	36	85	97	0.709
103	transport sci	<table><tr><td>Journal:</td><td>TRANSPORTATION SCIENCE</td></tr><tr><td>ISSN:</td><td>0041-1655</td></tr><tr></tr></table>	0.7422	-0.7432	3	20	61	96	1.427
104	int j oper prod man	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0144-3577</td></tr><tr></tr></table>	0.9772	-0.0235	3	41	133	95	1.054
105	j account res	<table><tr><td>Journal:</td><td>JOURNAL OF ACCOUNTING RESEARCH</td></tr><tr><td>ISSN:</td><td>0021-8456</td></tr><tr></tr></table>	-0.97	0.8847	5	25	142	94	2.115
106	int econ rev	<table><tr><td>Journal:</td><td>INTERNATIONAL ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0020-6598</td></tr><tr></tr></table>	-0.8349	-0.3051	1	39	84	92	0.917
107	j corp financ	<table><tr><td>Journal:</td><td>JOURNAL OF CORPORATE FINANCE</td></tr><tr><td>ISSN:</td><td>0929-1199</td></tr><tr></tr></table>	-0.8065	0.6181	5	30	102	92	1.354
108	econ soc	<table><tr><td>Journal:</td><td>ECONOMY AND SOCIETY</td></tr><tr><td>ISSN:</td><td>0308-5147</td></tr><tr></tr></table>	-0.1198	0.0661	1	13	37	91	1.678
109	inform syst res	<table><tr><td>Journal:</td><td>INFORMATION SYSTEMS RESEARCH</td></tr><tr><td>ISSN:</td><td>1047-7047</td></tr><tr></tr></table>	1.0575	-0.1671	4	33	107	91	2.682
110	j labor econ	<table><tr><td>Journal:</td><td>JOURNAL OF LABOR ECONOMICS</td></tr><tr><td>ISSN:</td><td>0734-306X</td></tr><tr></tr></table>	-0.4532	-0.0703	1	32	52	90	1.473
111	world econ	<table><tr><td>Journal:</td><td>WORLD ECONOMY</td></tr><tr><td>ISSN:</td><td>0378-5920</td></tr><tr></tr></table>	-0.7125	-0.1443	1	20	31	90	0.715
112	appl econ lett	<table><tr><td>Journal:</td><td>APPLIED ECONOMICS LETTERS</td></tr><tr><td>ISSN:</td><td>1350-4851</td></tr><tr></tr></table>	-0.5913	-0.3114	1	28	47	88	0.294
113	rev int polit econ	<table><tr><td>Journal:</td><td>REVIEW OF INTERNATIONAL POLITICAL ECONOMY</td></tr><tr><td>ISSN:</td><td>0969-2290</td></tr><tr></tr></table>	-0.1762	0.0493	1	24	57	88	1
114	can j econ	<table><tr><td>Journal:</td><td>CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE</td></tr><tr><td>ISSN:</td><td>0008-4085</td></tr><tr></tr></table>	-0.733	-0.2632	1	37	81	87	0.54
115	ind corp change	<table><tr><td>Journal:</td><td>INDUSTRIAL AND CORPORATE CHANGE</td></tr><tr><td>ISSN:</td><td>0960-6491</td></tr><tr></tr></table>	-0.0992	0.2249	1	72	132	85	1.325
116	prod oper manag	<table><tr><td>Journal:</td><td>PRODUCTION AND OPERATIONS MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1059-1478</td></tr><tr></tr></table>	0.8468	-0.2311	3	40	94	85	2.123
117	brit j manage	<table><tr><td>Journal:</td><td>BRITISH JOURNAL OF MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1045-3172</td></tr><tr></tr></table>	0.2105	0.5747	2	50	102	84	1.534
118	futures	<table><tr><td>Journal:</td><td>FUTURES</td></tr><tr><td>ISSN:</td><td>0016-3287</td></tr><tr></tr></table>	0.0487	0.1478	1	16	19	82	0.843
119	energ j	<table><tr><td>Journal:</td><td>ENERGY JOURNAL</td></tr><tr><td>ISSN:</td><td>0195-6574</td></tr><tr></tr></table>	-0.3207	-0.2198	1	29	51	81	1.575
120	j econ psychol	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC PSYCHOLOGY</td></tr><tr><td>ISSN:</td><td>0167-4870</td></tr><tr></tr></table>	0.097	-0.2396	4	40	67	81	0.9
121	acad manage exec	<table><tr><td>Journal:</td><td>ACADEMY OF MANAGEMENT EXECUTIVE</td></tr><tr><td>ISSN:</td><td>0896-3789</td></tr><tr></tr></table>	0.7694	0.5293	2	45	101	81	1.61
122	public choice	<table><tr><td>Journal:</td><td>PUBLIC CHOICE</td></tr><tr><td>ISSN:</td><td>0048-5829</td></tr><tr></tr></table>	-0.3032	-0.217	1	30	39	81	0.527
123	oxford b econ stat	<table><tr><td>Journal:</td><td>OXFORD BULLETIN OF ECONOMICS AND STATISTICS</td></tr><tr><td>ISSN:</td><td>0305-9049</td></tr><tr></tr></table>	-0.6983	-0.2596	1	32	65	79	0.732
124	j econ manage strat	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY</td></tr><tr><td>ISSN:</td><td>1058-6407</td></tr><tr></tr></table>	-0.3734	-0.1657	1	31	56	79	0.875
125	j acad market sci	<table><tr><td>Journal:</td><td>JOURNAL OF THE ACADEMY OF MARKETING SCIENCE</td></tr><tr><td>ISSN:</td><td>0092-0703</td></tr><tr></tr></table>	0.7995	0.1602	4	38	108	78	1.18
126	j bus econ stat	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS & ECONOMIC STATISTICS</td></tr><tr><td>ISSN:</td><td>0735-0015</td></tr><tr></tr></table>	-0.8499	-0.3644	1	28	56	77	1.129
