type;id;title;author;year;doi;url;venue
journal;cao-et-al:2018:2815956;Robust Place Recognition and Loop Closing in Laser-Based {SLAM} for {UGV}s in Urban Environments;Fengkui Cao and Yan Zhuang and Hong Zhang and Wei Wang;2018;10.1109/JSEN.2018.2815956;;IEEE Sensors Journal
journal;dayoub-et-al:2011:013;Long-term experiments with an adaptive spherical view representation for navigation in changing environments;Feras Dayoub and Grzegorz Cielniak and Tom Duckett;2011;10.1016/j.robot.2011.02.013;;Robotics and Autonomous Systems
journal;han-et-al:2018:3;Sequence-based sparse optimization methods for long-term loop closure detection in visual {SLAM};Fei Han and Hua Wang and Guoquan Huang and Hao Zhang;2018;10.1007/s10514-018-9736-3;;Autonomous Robots
journal;han-et-al:2018:2856274;Learning of Holism-Landmark graph embedding for place recognition in Long-Term autonomy;Fei Han and Saad El Beleidy and Hua Wang and Cang Ye and Hao Zhang;2018;10.1109/LRA.2018.2856274;;IEEE Robotics and Automation Letters
journal;han-et-al:2017:2662061;{SRAL}: Shared Representative Appearance Learning for Long-Term Visual Place Recognition;Fei Han and Xue Yang and Yiming Deng and Mark Rentschler and Dejun Yang and Hao Zhang;2017;10.1109/LRA.2017.2662061;;IEEE Robotics and Automation Letters
conference;nobre-et-al:2018:8461111;Online probabilistic change detection in feature-based maps;Fernando Nobre and Christoffer Heckman and Paul Ozog and Ryan W. Wolcott and Jeffrey M. Walls;2018;10.1109/ICRA.2018.8461111;;2018 IEEE International Conference on Robotics and Automation (ICRA)
conference;pomerleau-et-al:2014:6907397;Long-term 3{D} map maintenance in dynamic environments;Francois Pomerleau and Philipp Krüsi and Francis Colas and Paul Furgale and Roland Siegwart;2014;10.1109/ICRA.2014.6907397;;2014 IEEE International Conference on Robotics and Automation (ICRA)
journal;tipaldi-et-al:2013:0278364913502830;Lifelong localization in changing environments;Gian Diego Tipaldi and Daniel Meyer-Delius and Wolfram Burgard;2013;10.1177/0278364913502830;;International Journal of Robotics Research
conference;huang-et-al:2013:6698835;Consistent sparsification for graph optimization;Guoquan Huang and Michael Kaess and John J. Leonard;2013;10.1109/ECMR.2013.6698835;;2013 European Conference on Mobile Robots (ECMR)
journal;kim-et-al:2019:2897340;1-Day Learning, 1-Year Localization: Long-Term {LiDAR} Localization Using Scan Context Image;Giseop Kim and Byungjae Park and Ayoung Kim;2019;10.1109/LRA.2019.2897340;;IEEE Robotics and Automation Letters
conference;kurz-et-al:2021:9636530;Geometry-based Graph Pruning for Lifelong {SLAM};Gerhard Kurz and Matthias Holoch and Peter Biber;2021;10.1109/IROS51168.2021.9636530;;2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;singh-et-al:2021:9564866;Hierarchical Loop Closure Detection for Long-term Visual {SLAM} with Semantic-Geometric Descriptors;Gaurav Singh and Meiqing Wu and Siew-Kei Lam and Do Van Minh;2021;10.1109/ITSC48978.2021.9564866;;2021 IEEE International Intelligent Transportation Systems Conference (ITSC)
journal;hu-et-al:2022:1003907;Domain-Invariant Similarity Activation Map Contrastive Learning for Retrieval-Based Long-Term Visual Localization;Hanjiang Hu and Hesheng Wang and Zhe Liu and Weidong Chen;2022;10.1109/JAS.2021.1003907;;IEEE/CAA Journal of Automatica Sinica
conference;johannsson-et-al:2013:6630556;Temporally scalable visual {SLAM} using a reduced pose graph;Hordur Johannsson and Michael Kaess and Maurice Fallon and John J. Leonard;2013;10.1109/ICRA.2013.6630556;;2013 IEEE International Conference on Robotics and Automation (ICRA)
journal;karaoguz-bozma:2016:4;An integrated model of autonomous topological spatial cognition;Hakan Karaoğuz and H. Işil Bozma;2016;10.1007/s10514-015-9514-4;;Autonomous Robots
journal;karaoguz-bozma:2020:2;Merging of appearance-based place knowledge among multiple robots;Hakan Karaoğuz and H. Işil Bozma;2020;10.1007/s10514-020-09911-2;;Autonomous Robots
journal;kretzschmar-stachniss:2012:0278364912455072;Information-theoretic compression of pose graphs for laser-based {SLAM};Henrik Kretzschmar and Cyrill Stachniss;2012;10.1177/0278364912455072;;International Journal of Robotics Research
journal;kretzschmar-et-al:2010:2;Lifelong Map Learning for Graph-based {SLAM} in Static Environments;Henrik Kretzschmar and Giorgio Grisetti and Cyrill Stachniss;2010;10.1007/s13218-010-0034-2;;KI - Kunstliche Intelligenz
conference;thomas-et-al:2021:9561701;Self-Supervised Learning of {L}idar Segmentation for Autonomous Indoor Navigation;Hugues Thomas and Ben Agro and Mona Gridseth and Jian Zhang and Timothy D. Barfoot;2021;10.1109/ICRA48506.2021.9561701;;2021 IEEE International Conference on Robotics and Automation (ICRA)
journal;yin-et-al:2021:661199;Radar-to-{L}idar: Heterogeneous Place Recognition via Joint Learning;Huan Yin and Xuecheng Xu and Yue Wang and Rong Xiong;2021;10.3389/frobt.2021.661199;;Frontiers in Robotics and AI
journal;yin-et-al:2020:2905046;3{D} {LiDAR}-Based Global Localization Using Siamese Neural Network;Huan Yin and Yue Wang and Xiaqing Ding and Li Tang and Shoudong Huang and Rong Xiong;2020;10.1109/TITS.2019.2905046;;IEEE Transactions on Intelligent Transportation Systems
journal;zhang-et-al:2018:1729881418780178;Distributed and collaborative monocular simultaneous localization and mapping for multi-robot systems in large-scale environments;Hui Zhang and Xieyuanli Chen and Huimin Lu and Junhao Xiao;2018;10.1177/1729881418780178;;International Journal of Advanced Robotic Systems
journal;biswas-veloso:2013:0278364913503892;Localization and navigation of the {C}o{B}ots over long-term deployments;Joydeep Biswas and Manuela M. Veloso;2013;10.1177/0278364913503892;;International Journal of Robotics Research
journal;biswas-veloso:2017:005;Episodic non-{M}arkov localization;Joydeep Biswas and Manuela M. Veloso;2017;10.1016/j.robot.2016.09.005;;Robotics and Autonomous Systems
journal;coulin-et-al:2022:3136241;Tightly-Coupled Magneto-Visual-Inertial Fusion for Long Term Localization in Indoor Environment;Jade Coulin and Richard Guillemard and Vincent Gay-Bellile and Cyril Joly and Arnaud de La Fortelle;2022;10.1109/LRA.2021.3136241;;IEEE Robotics and Automation Letters
conference;li-et-al:2015:7139706;High-Level Visual Features for Underwater Place Recognition;Jie Li and Ryan M. Eustice and Matthew Johnson-Roberson;2015;10.1109/ICRA.2015.7139706;;2015 IEEE International Conference on Robotics and Automation (ICRA)
journal;santos-et-al:2016:2516594;Lifelong Information-Driven Exploration to Complete and Refine 4-{D} Spatio-Temporal Maps;João Machado Santos and Tomáš Krajník and Jaime Pulido Fentanes and Tom Duckett;2016;10.1109/LRA.2016.2516594;;IEEE Robotics and Automation Letters
conference;oberländer-et-al:2013:6766479;Hierarchical {SLAM} using spectral submap matching with opportunities for long-term operation;Jan Oberländer and Arne Roennau and Rüdiger Dillmann;2013;10.1109/ICAR.2013.6766479;;2013 16th International Conference on Advanced Robotics (ICAR)
journal;oh-eoh:2021:app11198976;Variational {B}ayesian approach to condition-invariant feature extraction for visual place recognition;Junghyun Oh and Gyuho Eoh;2021;10.3390/app11198976;;Applied Sciences
journal;saarinen-et-al:2013:0278364913499415;3{D} normal distributions transform occupancy maps: An efficient representation for mapping in dynamic environments;Jari P. Saarinen and Henrik Andreasson and Todor Stoyanov and Achim J. Lilienthal;2013;10.1177/0278364913499415;;International Journal of Robotics Research
journal;pérez-et-al:2015:y;Enhanced {M}onte {C}arlo Localization with Visual Place Recognition for Robust Robot Localization;Javier Pérez and Fernando Caballero and Luis Merino;2015;10.1007/s10846-015-0198-y;;Journal of Intelligent and Robotic Systems: Theory and Applications
conference;berrio-et-al:2019:8814289;Identifying robust landmarks in feature-based maps;Julie Stephany Berrio and James Ward and Stewart Worrall and Eduardo Nebot;2019;10.1109/IVS.2019.8814289;;2019 IEEE Intelligent Vehicles Symposium (IV)
journal;berrio-et-al:2021:3094485;Long-Term Map Maintenance Pipeline for Autonomous Vehicles;Julie Stephany Berrio and Stewart Worrall and M. Shan and Eduardo Nebot;2021;10.1109/TITS.2021.3094485;;IEEE Transactions on Intelligent Transportation Systems
conference;zhu-et-al:2018:8500686;Visual Place Recognition in Long-term and Large-scale Environment based on {CNN} Feature;Jianliang Zhu and Yunfeng Ai and Bin Tian and Dongpu Cao and Sebastian Scherer;2018;10.1109/IVS.2018.8500686;;2018 IEEE Intelligent Vehicles Symposium (IV)
journal;tsintotas-et-al:2021:103782;Modest-vocabulary loop-closure detection with incremental bag of tracked words;Konstantinos A. Tsintotas and Loukas Bampis and Antonios Gasteratos;2021;10.1016/j.robot.2021.103782;;Robotics and Autonomous Systems
conference;ikeda-tanaka:2010:5509579;Visual robot localization using compact binary landmarks;Kouichirou Ikeda and Tanaka Kanji;2010;10.1109/ROBOT.2010.5509579;;2010 IEEE International Conference on Robotics and Automation (ICRA)
conference;konolige-bowman:2009:5354121;Towards lifelong visual maps;Kurt Konolige and James Bowman;2009;10.1109/IROS.2009.5354121;;2009 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;mactavish-et-al:2018:21838;Selective memory: Recalling relevant experience for long-term visual localization;Kirk MacTavish and Michael Paton and Timothy D. Barfoot;2018;10.1002/rob.21838;;Journal of Field Robotics
conference;pirker-et-al:2011:6048253;{CD} {SLAM} - Continuous localization and mapping in a dynamic world;Katrin Pirker and Matthias Rüther and Horst Bischof;2011;10.1109/IROS.2011.6048253;;2011 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;wang-et-al:2019:8793499;A unified framework for mutual improvement of {SLAM} and semantic segmentation;Kai Wang and Yimin Lin and Luowei Wang and Liming Han and Minjie Hua and Xiang Wang and Shiguo Lian and Bill Huang;2019;10.1109/ICRA.2019.8793499;;2019 IEEE International Conference on Robotics and Automation (ICRA)
journal;zhang-et-al:2022:3086822;Appearance-Based Loop Closure Detection via Locality-Driven Accurate Motion Field Learning;Kaining Zhang and Xingyu Jiang and Jiayi Ma;2022;10.1109/TITS.2021.3086822;;IEEE Transactions on Intelligent Transportation Systems
journal;clement-et-al:2020:2967659;Learning Matchable Image Transformations for Long-Term Metric Visual Localization;Lee Clement and Mona Gridseth and Justin Tomasi and Jonathan Kelly;2020;10.1109/LRA.2020.2967659;;IEEE Robotics and Automation Letters
conference;camara-et-al:2020:9196967;Highly Robust Visual Place Recognition Through Spatial Matching of {CNN} Features;Luis G. Camara and Carl Gäbert and Libor Přeučil;2020;10.1109/ICRA40945.2020.9196967;;2020 IEEE International Conference on Robotics and Automation (ICRA)
conference;murphy-sibley:2014:6907022;Incremental unsupervised topological place discovery;Liz Murphy and Gabe Sibley;2014;10.1109/ICRA.2014.6907022;;2014 IEEE International Conference on Robotics and Automation (ICRA)
conference;sun-et-al:2021:9635886;Robust and Long-term Monocular Teach and Repeat Navigation using a Single-experience Map;Li Sun and Marwan Taher and Christopher Wild and Cheng Zhao and Yu Zhang and Filip Majer and Zhi Yan and Tomáš Krajník and Tony Prescott and Tom Duckett;2021;10.1109/IROS51168.2021.9635886;;2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;sun-et-al:2018:2856268;Recurrent-{O}cto{M}ap: Learning State-Based Map Refinement for Long-Term Semantic Mapping with 3-{D}-{L}idar Data;L. Sun and Zhi Yan and Anestis Zaganidis and Cheng Zhao and Tom Duckett;2018;10.1109/LRA.2018.2856268;;IEEE Robotics and Automation Letters
journal;tang-et-al:2021:17298814211037497;Explicit feature disentanglement for visual place recognition across appearance changes;Li Tang and Yue Wang and Qimeng Tan and Rong Xiong;2021;10.1177/17298814211037497;;International Journal of Advanced Robotic Systems
journal;tang-et-al:2019:7;Topological local-metric framework for mobile robots navigation: a long term perspective;Li Tang and Yue Wang and Xiaqing Ding and Huan Yin and Rong Xiong and Shoudong Huang;2019;10.1007/s10514-018-9724-7;;Autonomous Robots
conference;wang-et-al:2020:9468884;Long-term localization with time series map prediction for mobile robots in dynamic environments;Lisai Wang and Weidong Chen and Jingchuan Wang;2020;10.1109/IROS45743.2020.9468884;;2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;wu-wu:2019:8968599;Deep Supervised Hashing with Similar Hierarchy for Place Recognition;Lang Wu and Yihong Wu;2019;10.1109/IROS40897.2019.8968599;;2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;bosse-zlot:2009:009;Keypoint design and evaluation for place recognition in 2{D} lidar maps;Michael Bosse and Robert Zlot;2009;10.1016/j.robot.2009.07.009;;Robotics and Autonomous Systems
journal;bürki-et-al:2019:21870;Appearance-based landmark selection for visual localization;Mathias Bürki and Cesar Cadena and Igor Gilitschenski and Roland Siegwart and Juan Nieto;2019;10.1002/rob.21870;;Journal of Field Robotics
conference;dymczyk-et-al:2016:66;Will it last? {L}earning stable features for long-term visual localization;Marcin Dymczyk and Elena Stumm and Juan Nieto and Roland Siegwart and Igor Gilitschenski;2016;10.1109/3DV.2016.66;;2016 International Conference on 3D Vision (3DV)
conference;dymczyk-et-al:2015:7139575;The gist of maps - Summarizing experience for lifelong localization;Marcin Dymczyk and Simon Lynen and Titus Cieslewski and Michael Bosse and Roland Siegwart and Paul Furgale;2015;10.1109/ICRA.2015.7139575;;2015 IEEE International Conference on Robotics and Automation (ICRA)
conference;dymczyk-et-al:2016:7759673;Erasing bad memories: Agent-side summarization for long-term mapping;Marcin Dymczyk and Thomas Schneider and Igor Gilitschenski and Roland Siegwart and Elena Stumm;2016;10.1109/IROS.2016.7759673;;2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;gadd-newman:2016:7759843;Checkout my map: Version control for fleetwide visual localisation;Matthew Gadd and Paul Newman;2016;10.1109/IROS.2016.7759843;;2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;labbé-michaud:2019:21831;{RTAB}-{M}ap as an open-source lidar and visual simultaneous localization and mapping library for large-scale and long-term online operation;Mathieu Labbé and François Michaud;2019;10.1002/rob.21831;;Journal of Field Robotics
journal;mazuran-et-al:2016:0278364915581629;Nonlinear factor recovery for long-term {SLAM};Mladen Mazuran and Wolfram Burgard and Gian Diego Tipaldi;2016;10.1177/0278364915581629;;International Journal of Robotics Research
conference;mohan-et-al:2015:7139966;Environment selection and hierarchical place recognition;Mahesh Mohan and Dorian Gálvez-López and Claire Monteleoni and Gabe Sibley;2015;10.1109/ICRA.2015.7139966;;2015 IEEE International Conference on Robotics and Automation (ICRA)
conference;rapp-et-al:2015:77;Semi-{M}arkov Process Based Localization using radar in Dynamic Environments;Matthias Rapp and Markus Hahn and Markus Thom and Jürgen Dickmann and Klaus Dietmayer;2015;10.1109/ITSC.2015.77;;2015 IEEE International Intelligent Transportation Systems Conference (ITSC)
conference;lázaro-et-al:2018:8594310;Efficient Long-term Mapping in Dynamic Environments;María T. Lázaro and Roberto Capobianco and Giorgio Grisetti;2018;10.1109/IROS.2018.8594310;;2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;zhang-et-al:2019:8814347;{SDF}-{L}oc: Signed distance Field based 2{D} relocalization and map update in dynamic environments;Mingming Zhang and Yiming Chen and Mingyang Li;2019;10.23919/acc.2019.8814347;;2019 American Control Conference (ACC)
journal;carlevaris-bianco-et-al:2014:2347571;Generic node removal for factor-graph {SLAM};Nicholas Carlevaris-Bianco and Michael Kaess and Ryan M. Eustice;2014;10.1109/TRO.2014.2347571;;IEEE Transactions on Robotics
journal;chebrolu-et-al:2018:2849603;Robust long-term registration of {UAV} images of crop fields for precision agriculture;Nived Chebrolu and Thomas Läbe and Cyrill Stachniss;2018;10.1109/LRA.2018.2849603;;IEEE Robotics and Automation Letters
journal;piasco-et-al:2021:6;Improving Image Description with Auxiliary Modality for Visual Localization in Challenging Conditions;Nathan Piasco and Désiré Sidibé and Valérie Gouet-Brunet and Cédric Demonceaux;2021;10.1007/s11263-020-01363-6;;International Journal of Computer Vision
conference;zhang-et-al:2018:8460674;Learning Place-and-Time-Dependent Binary Descriptors for Long-Term Visual Localization;Nan Zhang and Michael Warren and Timothy D. Barfoot;2018;10.1109/ICRA.2018.8460674;;2018 IEEE International Conference on Robotics and Automation (ICRA)
conference;vysotska-et-al:2015:7139576;Efficient and effective matching of image sequences under substantial appearance changes exploiting {GPS} priors;Olga Vysotska and Tayyab Naseer and Luciano Spinello and Wolfram Burgard and Cyrill Stachniss;2015;10.1109/ICRA.2015.7139576;;2015 IEEE International Conference on Robotics and Automation (ICRA)
journal;biber-duckett:2009:0278364908096286;Experimental analysis of sample-based maps for long-term {SLAM};Peter Biber and Tom Duckett;2009;10.1177/0278364908096286;;International Journal of Robotics Research
conference;egger-et-al:2018:8593854;Pose{M}ap: Lifelong, Multi-Environment 3{D} {LiDAR} Localization;Philipp Egger and Paulo V. K. Borges and Gavin Catt and Andreas Pfrunder and Roland Siegwart and Renaud Dubé;2018;10.1109/IROS.2018.8593854;;2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;ganti-waslander:2019:00024;Network uncertainty informed semantic feature selection for visual {SLAM};Pranav Ganti and Steven L. Waslander;2019;10.1109/CRV.2019.00024;;2019 16th Conference on Computer and Robot Vision (CRV)
conference;gao-zhang:2020:9196906;Long-term Place Recognition through Worst-case Graph Matching to Integrate Landmark Appearances and Spatial Relationships;Peng Gao and Hao Zhang;2020;10.1109/ICRA40945.2020.9196906;;2020 IEEE International Conference on Robotics and Automation (ICRA)
journal;mühlfellner-et-al:2016:21595;Summary Maps for Lifelong Visual Localization;Peter Mühlfellner and Mathias Bürki and Michael Bosse and Wojciech Derendarz and Roland Philippsen and Paul Furgale;2016;10.1002/rob.21595;;Journal of Field Robotics
journal;neubert-et-al:2015:005;Superpixel-based appearance change prediction for long-term navigation across seasons;Peer Neubert and Niko Sünderhauf and Peter Protzel;2015;10.1016/j.robot.2014.08.005;;Robotics and Autonomous Systems
journal;ozog-et-al:2016:21582;Long-term Mapping Techniques for Ship Hull Inspection and Surveillance using an Autonomous Underwater Vehicle;Paul Ozog and Nicholas Carlevaris-Bianco and Ayoung Kim and Ryan M. Eustice;2016;10.1002/rob.21582;;Journal of Field Robotics
conference;schmuck-chli:2019:00071;On the Redundancy Detection in Keyframe-Based {SLAM};Patrik Schmuck and Margarita Chli;2019;10.1109/3DV.2019.00071;;2019 International Conference on 3D Vision (3DV)
journal;yin-et-al:2021:3061375;Fusion{VLAD}: A Multi-View Deep Fusion Networks for Viewpoint-Free 3{D} Place Recognition;Peng Yin and Ji Xu and Ji Zhang and Howie Choset;2021;10.1109/LRA.2021.3061375;;IEEE Robotics and Automation Letters
conference;yin-et-al:2018:8593562;Stabilize an Unsupervised Feature Learning for {LiDAR}-based Place Recognition;Peng Yin and Lingyun Xu and Zhe Liu and Lu Li and Hadi Salman and Yuqing He and Weiliang Xu and Hesheng Wang and Howie Choset;2018;10.1109/IROS.2018.8593562;;2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;meng-et-al:2021:3062647;Loop-Closure Detection with a Multiresolution Point Cloud Histogram Mode in {L}idar Odometry and Mapping for Intelligent Vehicles;Qingyu Meng and Hongyan Guo and Xiaoming Zhao and Dongpu Cao and Hong Chen;2021;10.1109/TMECH.2021.3062647;;IEEE/ASME Transactions on Mechatronics
journal;arroyo-et-al:2018:7;Are you {ABLE} to perform a life-long visual topological localization?;Roberto Arroyo and Pablo F. Alcantarilla and Luis M. Bergasa and Eduardo Romera;2018;10.1007/s10514-017-9664-7;;Autonomous Robots
journal;mur-artal-et-al:2015:2463671;{ORB-SLAM}: A Versatile and Accurate Monocular {SLAM} System;Raúl Mur-Artal and J. M. M. Montiel and Juan D. Tardós;2015;10.1109/TRO.2015.2463671;;IEEE Transactions on Robotics
journal;paul-newman:2013:0278364913509859;Self-help: Seeking out perplexing images for ever improving topological mapping;Rohan Paul and Paul Newman;2013;10.1177/0278364913509859;;International Journal of Robotics Research
journal;griffith-pradalier:2017:21664;Survey Registration for Long-Term Natural Environment Monitoring;Shane Griffith and Cédric Pradalier;2017;10.1002/rob.21664;;Journal of Field Robotics
conference;hochdorfer-schlegel:2009;Towards a robust visual {SLAM} approach: Addressing the challenge of life-long operation;Siegfried Hochdorfer and Christian Schlegel;2009;;https://ieeexplore.ieee.org/document/5174794;2009 International Conference on Advanced Robotics (ICAR)
conference;hochdorfer-et-al:2009:5339626;Lifelong localization of a mobile service-robot in everyday indoor environments using omnidirectional vision;Siegfried Hochdorfer and Matthias Lutz and Christian Schlegel;2009;10.1109/TEPRA.2009.5339626;;2009 IEEE International Conference on Technologies for Practical Robot Applications (TePRA)
conference;luthardt-et-al:2018:8569323;{LLama-SLAM}: Learning High-Quality Visual Landmarks for Long-Term Mapping and Localization;Stefan Luthardt and Volker Willert and Jürgen Adamy;2018;10.1109/ITSC.2018.8569323;;2018 IEEE International Intelligent Transportation Systems Conference (ITSC)
journal;nuske-et-al:2009:20306;Robust outdoor visual localization using a three-dimensional-edge map;Stephen Nuske and Jonathan Roberts and Gordon F. Wyeth;2009;10.1002/rob.20306;;Journal of Field Robotics
journal;ouerghi-et-al:2018:s18040939;Visual Odometry and Place Recognition Fusion for Vehicle Position Tracking in Urban Environments;Safa Ouerghi and Rémi Boutteau and Xavier Savatier and Fethi Tlili;2018;10.3390/s18040939;;Sensors
conference;siva-zhang:2018:8461042;Omnidirectional multisensory perception fusion for long-term place recognition;Sriram Siva and Hao Zhang;2018;10.1109/ICRA.2018.8461042;;2018 IEEE International Conference on Robotics and Automation (ICRA)
conference;siva-et-al:2020:9340992;Voxel-based representation learning for place recognition based on 3{D} point clouds;Sriram Siva and Zachary Nahman and Hao Zhang;2020;10.1109/IROS45743.2020.9340992;;2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;williams-et-al:2014:0278364914531056;Concurrent filtering and smoothing: A parallel architecture for real-time navigation and full smoothing;Stephen Williams and Vadim Indelman and Michael Kaess and Richard Roberts and John J. Leonard and Frank Dellaert;2014;10.1177/0278364914531056;;International Journal of Robotics Research
journal;yang-et-al:2020:s20082432;{SGC-VSLAM}: A semantic and geometric constraints {VSLAM} for dynamic indoor environments;Shiqiang Yang and Guohao Fan and Lele Bai and Cheng Zhao and Dexin Li;2020;10.3390/s20082432;;Sensors
conference;zhu-et-al:2021:9561584;Lifelong Localization in Semi-Dynamic Environment;Shifan Zhu and Xinyu Zhang and Shichun Guo and Jun Li and Huaping Liu;2021;10.1109/ICRA48506.2021.9561584;;2021 IEEE International Conference on Robotics and Automation (ICRA)
journal;an-et-al:2016:0;Ceiling vision-based active {SLAM} framework for dynamic and wide-open environments;Su-Yong An and Lae-Kyoung Lee and Se-Young Oh;2016;10.1007/s10514-015-9453-0;;Autonomous Robots
